zip,neighborhood,year,median_rent,median_income,black_pct,renter_pct,rent_burden_pct,eviction_rate,vacancy_rate,gentrify_score
20010,Columbia Heights,2019,2267.0,62460.0,38.2,70.2,43.5,5.28,3.3,0.88
20010,Columbia Heights,2020,2426.0,63874.0,36.8,70.5,45.6,10.06,3.48,0.88
20010,Columbia Heights,2021,2601.0,65644.0,35.4,70.0,47.5,4.58,3.59,0.88
20010,Columbia Heights,2022,2839.0,67143.0,34.0,70.0,50.7,5.41,4.09,0.88
20010,Columbia Heights,2023,3025.0,68663.0,31.7,70.2,52.9,4.78,4.3,0.88
20011,Petworth / 16th Street Heights,2010,1019.0,54566.0,63.2,59.5,22.4,4.56,2.72,0.7
20011,Petworth / 16th Street Heights,2011,1079.0,56233.0,61.5,59.7,23.0,5.0,3.02,0.7
20011,Petworth / 16th Street Heights,2012,1147.0,57252.0,59.9,60.5,24.1,4.59,2.64,0.7
20011,Petworth / 16th Street Heights,2013,1235.0,58965.0,58.6,59.4,25.1,5.3,2.68,0.7
20011,Petworth / 16th Street Heights,2014,1295.0,60762.0,57.3,59.9,25.6,4.89,3.81,0.7
20011,Petworth / 16th Street Heights,2015,1382.0,62701.0,55.6,60.2,26.4,5.1,2.89,0.7
20011,Petworth / 16th Street Heights,2016,1500.0,64565.0,54.4,60.0,27.9,4.89,3.26,0.7
20011,Petworth / 16th Street Heights,2017,1611.0,66870.0,53.3,59.8,28.9,5.06,3.29,0.7
20011,Petworth / 16th Street Heights,2018,1702.0,67854.0,52.0,60.6,30.1,4.69,3.63,0.7
20011,Petworth / 16th Street Heights,2019,1801.0,68905.0,50.8,59.9,31.4,4.67,3.47,0.7
20011,Petworth / 16th Street Heights,2020,1872.0,70471.0,49.0,59.5,31.9,8.84,3.1,0.7
20011,Petworth / 16th Street Heights,2021,2007.0,71811.0,47.1,60.0,33.5,4.72,4.53,0.7
20011,Petworth / 16th Street Heights,2022,2140.0,73454.0,46.2,61.3,35.0,4.74,3.91,0.7
20011,Petworth / 16th Street Heights,2023,2259.0,75653.0,45.0,59.0,35.8,3.47,4.34,0.7
20015,Chevy Chase,2010,1768.0,69397.0,4.6,25.0,30.6,2.41,3.49,0.2
20015,Chevy Chase,2011,1855.0,71072.0,4.2,24.7,31.3,3.16,3.29,0.2
20015,Chevy Chase,2012,1946.0,72628.0,4.0,24.5,32.1,3.16,3.9,0.2
20015,Chevy Chase,2013,2036.0,74753.0,3.6,25.3,32.7,2.26,3.87,0.2
20015,Chevy Chase,2014,2119.0,76968.0,3.3,24.6,33.0,2.17,3.35,0.2
20015,Chevy Chase,2015,2240.0,78448.0,3.0,24.0,34.3,2.16,4.28,0.2
20015,Chevy Chase,2016,2377.0,80728.0,2.6,25.0,35.3,2.75,4.07,0.2
20015,Chevy Chase,2017,2473.0,83531.0,2.4,24.3,35.5,2.95,3.3,0.2
20015,Chevy Chase,2018,2601.0,85942.0,2.0,25.1,36.3,2.71,3.45,0.2
20015,Chevy Chase,2019,2673.0,88585.0,2.0,25.1,36.2,3.31,4.01,0.2
20015,Chevy Chase,2020,2816.0,91803.0,2.0,25.4,36.8,6.81,3.85,0.2
20015,Chevy Chase,2021,2951.0,93286.0,2.0,25.1,38.0,3.06,3.71,0.2
20015,Chevy Chase,2022,3059.0,95613.0,2.0,24.6,38.4,2.1,4.36,0.2
20015,Chevy Chase,2023,3211.0,97451.0,2.0,24.6,39.5,3.05,4.05,0.2
20016,Spring Valley / AU Park,2010,1813.0,74714.0,3.7,21.8,29.1,1.76,4.0,0.15
20016,Spring Valley / AU Park,2011,1893.0,76911.0,3.5,22.9,29.5,2.43,3.53,0.15
20016,Spring Valley / AU Park,2012,1986.0,78887.0,3.1,21.1,30.2,2.06,4.02,0.15
20016,Spring Valley / AU Park,2013,2091.0,80614.0,2.8,22.3,31.1,2.49,3.88,0.15
20016,Spring Valley / AU Park,2014,2190.0,83348.0,2.5,21.2,31.5,2.37,3.98,0.15
20016,Spring Valley / AU Park,2015,2280.0,86064.0,2.4,22.5,31.8,2.67,3.49,0.15
20016,Spring Valley / AU Park,2016,2375.0,88810.0,2.0,21.3,32.1,2.37,4.1,0.15
20016,Spring Valley / AU Park,2017,2486.0,90878.0,2.0,21.8,32.8,3.24,3.8,0.15
20016,Spring Valley / AU Park,2018,2625.0,93558.0,2.0,21.3,33.7,3.03,3.96,0.15
20016,Spring Valley / AU Park,2019,2750.0,96558.0,2.0,22.7,34.2,2.62,3.75,0.15
20016,Spring Valley / AU Park,2020,2928.0,99135.0,2.0,21.6,35.4,5.26,3.4,0.15
20016,Spring Valley / AU Park,2021,3074.0,101811.0,2.0,21.6,36.2,2.2,3.65,0.15
20016,Spring Valley / AU Park,2022,3201.0,104832.0,2.0,21.9,36.6,2.06,4.17,0.15
20016,Spring Valley / AU Park,2023,3308.0,109030.0,2.0,22.2,36.4,2.27,4.04,0.15
20017,Brookland / Michigan Park,2010,1065.0,59072.0,59.2,57.7,21.6,4.13,2.97,0.6
20017,Brookland / Michigan Park,2011,1126.0,60440.0,57.6,57.6,22.3,5.11,2.72,0.6
20017,Brookland / Michigan Park,2012,1201.0,61724.0,56.9,58.5,23.3,4.72,3.69,0.6
20017,Brookland / Michigan Park,2013,1265.0,63256.0,55.4,58.1,24.0,4.09,2.95,0.6
20017,Brookland / Michigan Park,2014,1348.0,64982.0,54.7,57.4,24.9,5.41,2.64,0.6
20017,Brookland / Michigan Park,2015,1443.0,66233.0,53.7,58.0,26.1,4.14,3.32,0.6
20017,Brookland / Michigan Park,2016,1550.0,68659.0,52.2,57.4,27.1,4.13,3.74,0.6
20017,Brookland / Michigan Park,2017,1620.0,70466.0,50.7,58.4,27.6,4.7,3.76,0.6
20017,Brookland / Michigan Park,2018,1729.0,72533.0,49.5,58.2,28.6,4.98,3.33,0.6
20017,Brookland / Michigan Park,2019,1830.0,73971.0,48.2,58.0,29.7,4.58,3.49,0.6
20017,Brookland / Michigan Park,2020,1967.0,75817.0,47.0,57.3,31.1,7.92,3.93,0.6
20017,Brookland / Michigan Park,2021,2118.0,77718.0,46.3,58.0,32.7,4.52,4.26,0.6
20017,Brookland / Michigan Park,2022,2255.0,79819.0,45.7,58.2,33.9,4.49,3.93,0.6
20017,Brookland / Michigan Park,2023,2391.0,81574.0,44.4,58.6,35.2,4.47,3.76,0.6
20018,Woodridge / Fort Lincoln,2010,945.0,58490.0,69.0,62.4,19.4,3.73,2.49,0.45
20018,Woodridge / Fort Lincoln,2011,1007.0,59484.0,67.8,60.9,20.3,3.6,2.73,0.45
20018,Woodridge / Fort Lincoln,2012,1067.0,60851.0,66.8,61.9,21.0,4.36,3.63,0.45
20018,Woodridge / Fort Lincoln,2013,1114.0,62368.0,65.9,61.7,21.4,4.12,2.84,0.45
20018,Woodridge / Fort Lincoln,2014,1175.0,64034.0,64.7,62.0,22.0,3.44,3.17,0.45
20018,Woodridge / Fort Lincoln,2015,1237.0,65971.0,64.0,62.2,22.5,3.63,3.54,0.45
20018,Woodridge / Fort Lincoln,2016,1313.0,67801.0,62.9,62.6,23.2,3.33,3.6,0.45
20018,Woodridge / Fort Lincoln,2017,1392.0,69181.0,62.4,62.9,24.1,3.78,3.37,0.45
20018,Woodridge / Fort Lincoln,2018,1468.0,70450.0,62.0,61.7,25.0,3.0,3.81,0.45
20018,Woodridge / Fort Lincoln,2019,1564.0,72149.0,61.5,60.8,26.0,3.79,3.57,0.45
20018,Woodridge / Fort Lincoln,2020,1625.0,74263.0,60.5,62.0,26.3,7.49,3.92,0.45
20018,Woodridge / Fort Lincoln,2021,1706.0,76059.0,59.3,61.4,26.9,3.6,3.84,0.45
20018,Woodridge / Fort Lincoln,2022,1826.0,78332.0,58.5,61.9,28.0,3.36,3.92,0.45
20018,Woodridge / Fort Lincoln,2023,1925.0,80260.0,58.0,62.3,28.8,3.43,4.52,0.45
20019,Capitol Heights / Deanwood,2010,896.0,66472.0,84.7,68.2,16.2,3.66,3.94,0.3
20019,Capitol Heights / Deanwood,2011,943.0,68493.0,84.0,68.7,16.5,3.72,3.28,0.3
20019,Capitol Heights / Deanwood,2012,991.0,71053.0,83.5,68.1,16.7,2.86,3.38,0.3
20019,Capitol Heights / Deanwood,2013,1029.0,72784.0,82.8,68.9,17.0,3.19,4.18,0.3
20019,Capitol Heights / Deanwood,2014,1083.0,74763.0,82.4,68.1,17.4,3.26,3.43,0.3
20019,Capitol Heights / Deanwood,2015,1147.0,76740.0,81.7,67.4,17.9,2.96,4.1,0.3
20019,Capitol Heights / Deanwood,2016,1186.0,78898.0,81.2,68.9,18.0,3.72,3.64,0.3
20019,Capitol Heights / Deanwood,2017,1224.0,80802.0,80.6,67.7,18.2,3.94,4.13,0.3
20019,Capitol Heights / Deanwood,2018,1288.0,83183.0,80.3,67.9,18.6,3.33,3.86,0.3
20019,Capitol Heights / Deanwood,2019,1330.0,85408.0,79.5,68.6,18.7,3.59,2.95,0.3
20019,Capitol Heights / Deanwood,2020,1371.0,87560.0,78.7,67.4,18.8,6.14,4.09,0.3
20019,Capitol Heights / Deanwood,2021,1453.0,89614.0,78.4,68.0,19.5,3.18,4.04,0.3
20019,Capitol Heights / Deanwood,2022,1505.0,92480.0,77.9,67.3,19.5,2.95,4.13,0.3
20019,Capitol Heights / Deanwood,2023,1565.0,95218.0,77.5,68.2,19.7,3.04,4.61,0.3
20020,Anacostia / Congress Heights,2010,849.0,67612.0,89.6,72.0,15.1,3.24,3.13,0.35
20020,Anacostia / Congress Heights,2011,886.0,69360.0,88.7,71.0,15.3,2.88,3.38,0.35
20020,Anacostia / Congress Heights,2012,939.0,71318.0,88.1,71.6,15.8,2.35,4.29,0.35
20020,Anacostia / Congress Heights,2013,991.0,72873.0,87.3,73.0,16.3,3.72,3.27,0.35
20020,Anacostia / Congress Heights,2014,1039.0,74883.0,86.6,72.5,16.7,3.38,4.11,0.35
20020,Anacostia / Congress Heights,2015,1095.0,76700.0,85.7,72.6,17.1,3.43,3.89,0.35
20020,Anacostia / Congress Heights,2016,1157.0,78294.0,85.1,72.5,17.7,3.01,3.7,0.35
20020,Anacostia / Congress Heights,2017,1213.0,80502.0,84.3,72.5,18.1,4.12,3.59,0.35
20020,Anacostia / Congress Heights,2018,1289.0,82141.0,83.5,72.6,18.8,3.76,3.91,0.35
20020,Anacostia / Congress Heights,2019,1351.0,84367.0,83.2,71.3,19.2,2.89,3.44,0.35
20020,Anacostia / Congress Heights,2020,1442.0,86246.0,82.6,71.4,20.1,6.12,3.73,0.35
20020,Anacostia / Congress Heights,2021,1506.0,88605.0,81.9,73.1,20.4,3.05,3.67,0.35
20020,Anacostia / Congress Heights,2022,1597.0,90809.0,81.2,71.4,21.1,3.17,3.92,0.35
20020,Anacostia / Congress Heights,2023,1654.0,93871.0,80.6,72.3,21.1,2.49,4.4,0.35
20024,Southwest Waterfront,2010,1295.0,54146.0,33.9,62.3,28.7,5.34,2.34,0.8
20024,Southwest Waterfront,2011,1387.0,55080.0,32.8,62.1,30.2,4.71,2.19,0.8
20024,Southwest Waterfront,2012,1505.0,56544.0,31.1,61.2,31.9,4.41,2.46,0.8
20024,Southwest Waterfront,2013,1610.0,57743.0,29.4,61.7,33.4,5.25,2.36,0.8
20024,Southwest Waterfront,2014,1729.0,58554.0,27.3,62.0,35.4,5.42,3.3,0.8
20024,Southwest Waterfront,2015,1842.0,59861.0,25.6,62.0,36.9,5.26,3.16,0.8
20024,Southwest Waterfront,2016,1973.0,60967.0,24.0,61.8,38.8,4.87,3.46,0.8
20024,Southwest Waterfront,2017,2108.0,62538.0,23.0,61.9,40.4,4.84,3.51,0.8
20024,Southwest Waterfront,2018,2284.0,63703.0,21.4,61.4,43.0,5.34,4.03,0.8
20024,Southwest Waterfront,2019,2458.0,64870.0,19.4,62.0,45.5,5.11,3.44,0.8
20024,Southwest Waterfront,2020,2629.0,66610.0,18.4,61.2,47.4,9.81,4.04,0.8
20024,Southwest Waterfront,2021,2824.0,68075.0,17.4,62.8,49.8,4.8,4.21,0.8
20024,Southwest Waterfront,2022,3009.0,69766.0,16.3,61.6,51.8,6.01,3.51,0.8
20024,Southwest Waterfront,2023,3205.0,71232.0,14.9,62.2,54.0,5.32,3.49,0.8
20032,Congress Heights / Bellevue,2010,843.0,71109.0,87.6,73.9,14.2,3.47,4.02,0.28
20032,Congress Heights / Bellevue,2011,897.0,73078.0,86.8,73.5,14.7,2.78,3.64,0.28
20032,Congress Heights / Bellevue,2012,942.0,74549.0,86.5,74.7,15.2,3.91,3.43,0.28
20032,Congress Heights / Bellevue,2013,975.0,76378.0,86.2,74.1,15.3,2.42,3.93,0.28
20032,Congress Heights / Bellevue,2014,1044.0,78605.0,85.9,74.3,15.9,2.86,3.72,0.28
20032,Congress Heights / Bellevue,2015,1100.0,80323.0,85.5,74.3,16.4,2.68,3.1,0.28
20032,Congress Heights / Bellevue,2016,1140.0,81643.0,84.9,74.1,16.8,3.54,3.7,0.28
20032,Congress Heights / Bellevue,2017,1194.0,83706.0,84.2,74.0,17.1,3.35,3.76,0.28
20032,Congress Heights / Bellevue,2018,1262.0,85862.0,83.5,73.7,17.6,3.4,3.96,0.28
20032,Congress Heights / Bellevue,2019,1319.0,87687.0,82.9,74.0,18.1,2.94,3.83,0.28
20032,Congress Heights / Bellevue,2020,1396.0,90280.0,82.6,73.7,18.6,7.85,3.77,0.28
20032,Congress Heights / Bellevue,2021,1470.0,91596.0,82.3,73.9,19.3,3.15,3.72,0.28
20032,Congress Heights / Bellevue,2022,1541.0,94330.0,81.5,72.6,19.6,2.22,3.75,0.28
20032,Congress Heights / Bellevue,2023,1619.0,97029.0,81.2,74.6,20.0,2.72,4.45,0.28
20036,Dupont Circle / West End,2010,1938.0,57754.0,10.4,59.8,40.3,4.23,2.63,0.6
20036,Dupont Circle / West End,2011,2051.0,58936.0,9.7,60.1,41.8,4.21,2.94,0.6
20036,Dupont Circle / West End,2012,2179.0,60479.0,8.9,61.1,43.2,5.0,3.13,0.6
20036,Dupont Circle / West End,2013,2291.0,61868.0,7.4,59.4,44.4,3.72,3.0,0.6
20036,Dupont Circle / West End,2014,2392.0,63520.0,6.0,59.9,45.2,4.78,3.15,0.6
20036,Dupont Circle / West End,2015,2531.0,65040.0,5.2,59.3,46.7,4.13,3.37,0.6
20036,Dupont Circle / West End,2016,2692.0,66596.0,4.5,61.0,48.5,4.69,2.75,0.6
20036,Dupont Circle / West End,2017,2827.0,68181.0,3.6,59.3,49.8,4.31,3.94,0.6
20036,Dupont Circle / West End,2018,2957.0,70319.0,2.1,59.4,50.5,4.3,3.86,0.6
20036,Dupont Circle / West End,2019,3093.0,71863.0,2.0,60.4,51.6,5.48,3.43,0.6
20036,Dupont Circle / West End,2020,3294.0,74056.0,2.0,60.0,53.4,8.68,3.34,0.6
20036,Dupont Circle / West End,2021,3501.0,76471.0,2.0,59.3,54.9,4.22,3.85,0.6
20036,Dupont Circle / West End,2022,3684.0,78765.0,2.0,59.8,56.1,4.07,3.74,0.6
20036,Dupont Circle / West End,2023,3923.0,80376.0,2.0,59.3,58.6,4.9,3.74,0.6
20037,Foggy Bottom / Georgetown,2010,2113.0,64469.0,6.9,54.7,39.3,4.52,3.27,0.55
20037,Foggy Bottom / Georgetown,2011,2240.0,66517.0,5.7,55.5,40.4,5.1,3.14,0.55
20037,Foggy Bottom / Georgetown,2012,2366.0,67868.0,4.2,54.1,41.8,3.9,2.68,0.55
20037,Foggy Bottom / Georgetown,2013,2461.0,69727.0,3.5,54.9,42.4,4.27,3.08,0.55
20037,Foggy Bottom / Georgetown,2014,2616.0,71720.0,2.7,55.4,43.8,4.35,3.31,0.55
20037,Foggy Bottom / Georgetown,2015,2751.0,73912.0,2.0,55.6,44.7,4.13,3.51,0.55
20037,Foggy Bottom / Georgetown,2016,2920.0,75244.0,2.0,55.4,46.6,4.15,3.37,0.55
20037,Foggy Bottom / Georgetown,2017,3111.0,77099.0,2.0,55.9,48.4,3.45,3.57,0.55
20037,Foggy Bottom / Georgetown,2018,3305.0,79991.0,2.0,55.2,49.6,5.11,3.75,0.55
20037,Foggy Bottom / Georgetown,2019,3532.0,81702.0,2.0,54.6,51.9,4.44,3.58,0.55
20037,Foggy Bottom / Georgetown,2020,3722.0,83944.0,2.0,54.7,53.2,8.06,4.16,0.55
20037,Foggy Bottom / Georgetown,2021,3904.0,86117.0,2.0,55.3,54.4,4.93,3.57,0.55
20037,Foggy Bottom / Georgetown,2022,4132.0,88407.0,2.0,54.6,56.1,3.97,3.64,0.55
20037,Foggy Bottom / Georgetown,2023,4292.0,90834.0,2.0,54.1,56.7,4.37,3.55,0.55
